episode,reward,eval_mean,eval_std,loss
572,-2.260274999999997,nan,nan,
325,-4.805487500000003,nan,nan,
573,-2.6120374999999987,nan,nan,
326,-5.383787500000003,nan,nan,
574,-3.76405,nan,nan,
327,-4.702475000000001,nan,nan,
575,-3.0693250000000014,nan,nan,
328,-4.2129125,nan,nan,
576,-4.346812499999993,nan,nan,
329,-2.306799999999997,nan,nan,
577,-3.3426749999999994,nan,nan,
330,-4.781299999999998,nan,nan,
578,-4.359837499999998,nan,nan,
331,-3.8477999999999994,nan,nan,
579,-4.0659750000000034,nan,nan,
332,-4.685662499999999,nan,nan,
580,-3.6032624999999974,nan,nan,
333,-3.990462500000002,nan,nan,
581,-4.316087499999998,nan,nan,
334,-3.2481499999999968,nan,nan,
582,-3.533787499999998,nan,nan,
335,-3.330274999999998,nan,nan,
583,-3.7583124999999975,nan,nan,
336,-4.903562499999998,nan,nan,
584,-4.1415000000000015,nan,nan,
337,-4.69669999999999,nan,nan,
585,-2.8017249999999985,nan,nan,
338,-4.946399999999998,nan,nan,
586,-2.9274625000000025,nan,nan,
339,-3.153650000000001,nan,nan,
587,-3.031900000000003,nan,nan,
340,-2.8554999999999997,nan,nan,
588,-3.5926874999999985,nan,nan,
341,-4.821912499999998,nan,nan,
589,-3.6043249999999967,nan,nan,
342,-4.800637500000001,nan,nan,
590,-5.8140625,nan,nan,
343,-3.2626499999999976,nan,nan,
591,-3.128062500000001,nan,nan,
344,-5.224000000000004,nan,nan,
592,-4.162549999999998,nan,nan,
345,-3.7899624999999983,nan,nan,
593,-3.2338000000000005,nan,nan,
346,-4.289675000000003,nan,nan,
594,-3.6510999999999973,nan,nan,
347,-7.604687499999998,nan,nan,
595,-4.092812499999998,nan,nan,
348,-6.620574999999999,nan,nan,
596,-2.8903749999999997,nan,nan,
349,-3.0620249999999936,nan,nan,
597,-5.171012499999998,nan,nan,
350,-3.2285874999999993,nan,nan,
598,-4.725287500000004,nan,nan,
351,-4.027550000000002,nan,nan,
599,-4.468187499999998,nan,nan,
352,-2.8003374999999977,nan,nan,
600,-3.9851499999999964,-3.6339374999999903,0.5644443776848203,
353,-3.429237499999997,nan,nan,
601,-3.796949999999992,nan,nan,
354,-2.878637499999997,nan,nan,
602,-5.202575000000005,nan,nan,
355,-3.654499999999996,nan,nan,
603,-2.906649999999996,nan,nan,
356,-2.8513124999999975,nan,nan,
357,-5.243962499999999,nan,nan,
